type,title,note text,source location,tags,notebooks,study set,last updated,created
highlight,,,https://www.churchofjesuschrist.org/study/manual/gospel-topics-essays/book-of-mormon-translation?lang=eng&id=p16,,,Default Set,2023-12-29T15:51:26.090Z,2023-01-01T16:06:36.616Z
reference,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/3-ne/11?lang=eng&id=p14,,,Default Set,2023-12-29T15:32:42.275Z,2023-12-29T15:28:14.564Z
reference,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/42?lang=eng&id=p15,,,Default Set,2023-12-29T15:26:34.111Z,2022-11-01T04:26:02.958Z
reference,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/hel/10?lang=eng&id=p12,,,Default Set,2023-12-28T17:30:50.334Z,2023-12-28T15:26:12.441Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/hel/10?lang=eng&id=p11,,,Default Set,2023-12-28T15:25:59.062Z,2023-12-28T15:25:59.062Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/hel/9?lang=eng&id=p20-p21,,,Default Set,2023-12-27T23:21:53.977Z,2023-12-27T23:21:53.977Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/60?lang=eng&id=p24,,,Default Set,2023-12-27T16:19:07.725Z,2023-12-27T16:19:07.725Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/60?lang=eng&id=p25-p27,,,Default Set,2023-12-27T16:19:00.617Z,2023-12-27T16:19:00.617Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/58?lang=eng&id=p31,,,Default Set,2023-12-27T16:08:54.536Z,2023-12-27T16:08:54.536Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/57?lang=eng&id=p9,,,Default Set,2023-12-27T15:56:23.931Z,2023-12-27T15:56:23.931Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/57?lang=eng&id=p8,,,Default Set,2023-12-27T15:56:14.255Z,2023-12-27T15:56:14.255Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/56?lang=eng&id=p49-p50,,,Default Set,2023-12-27T15:31:45.095Z,2023-12-27T15:31:45.094Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/56?lang=eng&id=p27,,,Default Set,2023-12-27T15:25:20.470Z,2023-12-27T15:25:20.470Z
highlight,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/56?lang=eng&id=p18-p19,,,Default Set,2023-12-27T15:20:56.618Z,2018-09-09T13:31:43.118Z
highlight,,<div>Why would the Nephites even risk drinking something that came from their enemies? I think the Lamanites must have been trying to mix in poison or poisoned wine in secret.</div>,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/55?lang=eng&id=p31,,,Default Set,2023-12-27T15:06:29.142Z,2023-12-27T15:04:52.382Z
reference,,,https://www.churchofjesuschrist.org/study/scriptures/bofm/alma/42?lang=eng&id=p31,,,Default Set,2023-12-26T22:06:22.176Z,2023-12-26T22:06:09.124Z
